id,week,section,phase,topic,book_ref,resource_type,resource_name,url,time_estimate,priority,system_connect,deliverable,status,completed_date,quiz_score,quiz_date,quiz_notes,gaps
1,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",Book (FREE),Chip Huyen AI Engineering — Ch 1 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,All 3 apps — you ARE the AI engineer case study,"Read Ch 1 summary, note the 3 layers of the AI stack",KNOWN,,KNOWN,2026-05-03,"Nailed AI eng vs ML eng distinction, foundation model def, 'should you build it?' question. Needs: memorize evolution chain + 8 use case categories",
2,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",Book (FREE),Chip Huyen AI Engineering — Full TOC (GitHub),https://raw.githubusercontent.com/chiphuyen/aie-book/main/ToC.md,15min,MUST,See the full scope of AI Engineering as a discipline,Skim TOC to understand what the field covers,PRIORITY,,,,Quick skim for scope,
3,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",YouTube,Chip Huyen — Building LLM Applications for Production (conference talks),https://www.youtube.com/results?search_query=chip+huyen+building+llm+applications+production,1hr,MUST,Your production deployment decisions,Map your 3 apps to the 3 layers of the AI stack,PRIORITY,,,,For vocabulary polish,
4,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",YouTube,Latent Space podcast — AI Engineer vs ML Engineer,https://www.youtube.com/results?search_query=latent+space+ai+engineer+vs+ml+engineer,1hr,NICE,Career positioning,List what you do vs ML eng vs full-stack eng,SKIP,,,,Already articulated the distinction clearly in quiz,
5,1,core,Phase 1: AI Engineering Core,What is AI Engineering + The AI Stack,"Chip Huyen Ch 1 (AI Stack, AI Eng vs ML Eng)",Exercise,Write 60-second elevator pitch,N/A,30min,MUST,Use vocabulary from Ch 1 summary,DELIVERABLE: Written pitch — 'I build AI agent systems that run in production...',PRIORITY,,,,Do after watching Chip Huyen talk — use her vocabulary,
6,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",Book (FREE),Chip Huyen AI Engineering — Ch 2 Summary (GitHub),https://github.com/chiphuyen/aie-book/blob/main/chapter-summaries.md,30min,MUST,"Transformers, attention, tokenization, model size tradeoffs, sampling, structured outputs","Read summary, note: architecture, scaling laws, sampling strategies, structured outputs",IN_PROGRESS,,CLOSE,2026-05-03,Knows: transformer parallelization + param/cost tradeoffs. Gaps: tokenization (skipped entirely) + attention vocab (has intuition not terms) + param≠vocabulary confusion,"tokenization,attention vocab,parameter count"
7,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,3Blue1Brown: But what is a GPT? Visual intro to transformers,https://www.youtube.com/watch?v=wjZofJX0v4M,27min,MUST,Understanding WHY your models work,Explain transformer architecture in your own words after watching,PRIORITY,,,,Covers tokenization + attention gaps in one video,"tokenization,attention vocab"
8,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,3Blue1Brown: Attention in transformers visually explained,https://www.youtube.com/watch?v=eMlx5fFNoYc,25min,MUST,"Why your embedding search retrieves what it does (DamiraAI pgvector, AuraLogical market tools)",Explain key/query/value to someone,PRIORITY,,,,Closes attention vocab gap — query/key/value,attention vocab
9,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,Andrej Karpathy: Intro to Large Language Models,https://www.youtube.com/watch?v=zjkBMFhNj_g,1hr,MUST,"Training, RLHF, capabilities, security — general but deep",Write down 3 things you didn't know about how LLMs work,PRIORITY,,,,Transformer intuition + training pipeline overview,
10,2,core,Phase 1: AI Engineering Core,How Foundation Models Actually Work,"Chip Huyen Ch 2 (architecture, model size, sampling, structured outputs)",YouTube,Andrej Karpathy: Deep Dive into LLMs like ChatGPT,https://www.youtube.com/results?search_query=karpathy+deep+dive+llms+chatgpt,3.5hr,NICE,Full training stack — pre-training through RLHF,"Watch in 45-min chunks over the week, take notes",NOT_STARTED,,,,Optional — watch if time allows after priorities,
